NAME;SURNAME;WEB ADDRESS;AFFILIATION;CS;FP;Cmath;PT;CompA;AAG;ARAG;Calg;Cana;EAT;CertA
Josef;Schicho;"<a onclick=""loadUrl(this.href); return false;"" href=""https://www.ricam.oeaw.ac.at/people/page.cgi?firstn=Josef;lastn=Schicho"">web site</a>";Johann Radon Institute;;;;;*;;;;;;
Peter;Schuster;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www1.maths.leeds.ac.uk/~pschust"">web site</a>";University of Leeds;*;;*;;;;;*;;;
Helmut;Schwichtenberg;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www.mathematik.uni-muenchen.de/~schwicht"">web site</a>";Ludwig-Maximilians Universität München;;*;*;*;;;;;*;;
Francis;Sergeraert;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www-fourier.ujf-grenoble.fr/~sergerar"">web site</a>";Université Joseph Fourier, Grenoble;;;;;;;;;;*;
Carlos;Simpson;"<a onclick=""loadUrl(this.href); return false;"" href=""http://math.unice.fr/~carlos"">web site</a>";Université de Nice;;*;;;;*;;;;;
Bas;Spitters;"<a onclick=""loadUrl(this.href); return false;"" href=""http://cs.ru.nl/B.Spitters"">web site</a>";;*;*;*;;;;;;*;;*
Laurent;Thery;"<a onclick=""loadUrl(this.href); return false;"" href=""http://www-sop.inria.fr/marelle/Laurent.Thery/me.html"">web site</a>";Inria;;*;;;*;;;;;;*
Ihsen;Yengui;;Université de Sfax, Tunisie;;;*;;*;;;*;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
